name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,cost,service_type,cuisine_count,price_range
Resto_566,No,Yes,2.4,48,Indiranagar,Bakery,Dosa,"North Indian, Chinese, Fast Food, Mexican",200.0,Dine-out,4,Cheap
Nandhana Palace,Yes,Yes,3.0,847,Marathahalli,Quick Service Restaurant,Biryani,"Chinese, Desserts, Beverages, South Indian",400.0,Drinks & nightlife,4,Cheap
Resto_580,Yes,Yes,2.0,1266,Hsr Layout,Pub,Salad,"North Indian, Italian",1000.0,Delivery,2,Moderate
Nandhana Palace,No,No,2.9,807,Koramangala,Bar,Sushi,"Desserts, North Indian, Continental, Italian",400.0,Buffet,4,Cheap
Pizza Hut,No,Yes,4.1,2922,Hsr Layout,Cafe,Steak,"North Indian, Chinese, Mexican, Beverages, Fast Food",1000.0,Buffet,5,Moderate
Onesta,No,No,2.3,907,Mg Road,Fine Dining,Steak,"Continental, Thai",2000.0,Pubs and bars,2,Expensive
Leon Grill,Yes,No,3.6,2876,Mg Road,Quick Service Restaurant,Dosa,"Italian, Thai, Continental",400.0,Dine-out,3,Cheap
Resto_651,Yes,No,2.1,1432,Hsr Layout,Quick Service Restaurant,Pizza,"Fast Food, Mexican",2000.0,Drinks & nightlife,2,Expensive
Resto_944,Yes,Yes,3.4,402,Marathahalli,Bar,Dosa,"Thai, North Indian, Beverages, Fast Food, Chinese",1200.0,Drinks & nightlife,5,Expensive
Resto_531,Yes,Yes,4.5,417,Jayanagar,Bakery,Pizza,"South Indian, North Indian, Chinese, Fast Food",2000.0,Buffet,4,Expensive
Resto_329,No,No,3.9,1116,Jayanagar,Cafe,Dosa,"Chinese, North Indian, Fast Food",800.0,Dine-out,3,Moderate
Onesta,No,No,4.2,1630,Jayanagar,Bar,Pizza,Italian,2000.0,Dine-out,1,Expensive
Resto_191,Yes,Yes,2.4,318,Hsr Layout,Quick Service Restaurant,Burgers,"South Indian, Chinese, Thai",2000.0,Pubs and bars,3,Expensive
McDonald's,No,Yes,3.8,1811,Hsr Layout,Quick Service Restaurant,Burgers,"Chinese, Mexican",600.0,Drinks & nightlife,2,Moderate
Onesta,No,No,4.2,1305,Indiranagar,Pub,Dosa,"Mexican, Italian, Thai, South Indian",400.0,Buffet,4,Cheap
Resto_470,Yes,Yes,3.7,933,Whitefield,Cafe,Biryani,Beverages,3000.0,Cafes,1,Very Expensive
Burger King,Yes,Yes,4.6,1890,Indiranagar,Fine Dining,Salad,"Desserts, Continental",2500.0,Cafes,2,Very Expensive
Pizza Hut,No,No,3.9,373,Mg Road,Cafe,Salad,"Mexican, Thai, South Indian",2000.0,Drinks & nightlife,3,Expensive
Resto_732,No,No,2.3,1075,Indiranagar,Fine Dining,Salad,"Thai, Mexican",1200.0,Dine-out,2,Expensive
Resto_351,Yes,No,2.8,1804,Indiranagar,Bakery,Pasta,"Fast Food, Mexican",600.0,Buffet,2,Moderate
Empire Restaurant,Yes,Yes,2.7,889,Koramangala,Cafe,Burgers,"Continental, Italian, Thai, Fast Food, Mexican",1200.0,Cafes,5,Expensive
Resto_549,No,Yes,3.1,1492,Mg Road,Cafe,Biryani,"Continental, Chinese, Desserts, Thai, Italian",600.0,Drinks & nightlife,5,Moderate
Resto_308,Yes,Yes,2.9,2888,Jayanagar,Bakery,Pizza,"Fast Food, South Indian",1200.0,Dine-out,2,Expensive
Empire Restaurant,Yes,No,3.0,133,Whitefield,Bakery,Biryani,"Fast Food, Beverages, Italian",400.0,Buffet,3,Cheap
Onesta,No,Yes,3.9,317,Koramangala,Bar,Biryani,"Chinese, Thai, Mexican, Desserts",3000.0,Delivery,4,Very Expensive
Empire Restaurant,No,Yes,3.6,2226,Marathahalli,Fine Dining,Pasta,"Thai, Mexican",800.0,Cafes,2,Moderate
Resto_284,Yes,No,3.3,137,Hsr Layout,Bakery,Sushi,Beverages,800.0,Dine-out,1,Moderate
Leon Grill,Yes,No,3.3,2731,Koramangala,Bar,Steak,"Continental, Beverages, South Indian, North Indian",2000.0,Pubs and bars,4,Expensive
Resto_625,Yes,Yes,4.5,2700,Jayanagar,Quick Service Restaurant,Steak,"North Indian, Italian, Mexican, South Indian",800.0,Pubs and bars,4,Moderate
Resto_856,Yes,Yes,4.8,1728,Jp Nagar,Fine Dining,Salad,"North Indian, Continental, Thai, Italian",1200.0,Pubs and bars,4,Expensive
Resto_166,No,Yes,4.4,545,Jayanagar,Casual Dining,Steak,"Fast Food, North Indian, South Indian, Italian, Desserts",800.0,Buffet,5,Moderate
Resto_579,No,No,4.3,2648,Mg Road,Cafe,Biryani,"Chinese, Fast Food, Beverages",1200.0,Dine-out,3,Expensive
Resto_411,Yes,No,3.9,369,Mg Road,Bar,Dosa,"Italian, Chinese",3000.0,Cafes,2,Very Expensive
McDonald's,Yes,No,3.2,1852,Marathahalli,Bakery,Burgers,"Thai, Fast Food, Beverages, Desserts",1500.0,Dine-out,4,Expensive
KFC,Yes,No,4.0,923,Hsr Layout,Fine Dining,Pizza,"Mexican, Beverages",800.0,Dine-out,2,Moderate
Resto_144,No,Yes,4.3,1577,Koramangala,Quick Service Restaurant,Pasta,"Mexican, Chinese, Italian, Continental",2500.0,Dine-out,4,Very Expensive
Onesta,Yes,No,2.5,1682,Mg Road,Cafe,Steak,South Indian,2500.0,Dine-out,1,Very Expensive
Pizza Hut,No,Yes,3.2,928,Jp Nagar,Fine Dining,Dosa,Thai,2000.0,Delivery,1,Expensive
Nandhana Palace,No,Yes,4.5,867,Hsr Layout,Bar,Salad,"Beverages, Mexican, Chinese, Desserts",2000.0,Cafes,4,Expensive
Pizza Hut,Yes,No,4.8,690,Koramangala,Quick Service Restaurant,Sushi,"Italian, Mexican",1000.0,Cafes,2,Moderate
Pizza Hut,No,Yes,3.6,1325,Marathahalli,Quick Service Restaurant,Sushi,"Beverages, South Indian, Chinese, Continental, Desserts",2000.0,Cafes,5,Expensive
Resto_70,No,No,4.0,1942,Indiranagar,Casual Dining,Pasta,Chinese,1500.0,Buffet,1,Expensive
KFC,Yes,Yes,4.8,2507,Marathahalli,Bar,Steak,"Mexican, Beverages, Italian, Desserts",600.0,Pubs and bars,4,Moderate
Resto_206,Yes,Yes,2.0,1033,Whitefield,Fine Dining,Dosa,"Mexican, Fast Food, Thai",2000.0,Pubs and bars,3,Expensive
KFC,Yes,No,2.7,534,Marathahalli,Quick Service Restaurant,Biryani,"Fast Food, Beverages, North Indian, Thai, Desserts",400.0,Drinks & nightlife,5,Cheap
Nandhana Palace,No,Yes,4.6,29,Mg Road,Fine Dining,Burgers,"Thai, Italian, North Indian, Continental, Beverages",600.0,Dine-out,5,Moderate
Resto_33,No,No,4.4,1033,Indiranagar,Bakery,Burgers,Beverages,200.0,Pubs and bars,1,Cheap
Leon Grill,No,No,2.3,1262,Marathahalli,Quick Service Restaurant,Steak,"Chinese, South Indian, Fast Food",600.0,Delivery,3,Moderate
Pizza Hut,Yes,Yes,3.6,890,Whitefield,Fine Dining,Dosa,"North Indian, Desserts, Beverages, Fast Food, South Indian",200.0,Drinks & nightlife,5,Cheap
Burger King,Yes,No,4.0,2011,Jayanagar,Bakery,Pasta,"South Indian, North Indian, Continental",3000.0,Delivery,3,Very Expensive
KFC,Yes,No,2.3,298,Indiranagar,Pub,Biryani,"Desserts, North Indian, Fast Food",600.0,Pubs and bars,3,Moderate
Empire Restaurant,No,No,3.2,498,Marathahalli,Bakery,Salad,"Beverages, North Indian, Italian",200.0,Drinks & nightlife,3,Cheap
Resto_783,No,No,3.1,961,Jp Nagar,Pub,Pizza,"Chinese, South Indian, Thai",800.0,Buffet,3,Moderate
Empire Restaurant,Yes,No,3.6,850,Koramangala,Cafe,Dosa,"North Indian, Thai",200.0,Drinks & nightlife,2,Cheap
Resto_66,Yes,Yes,2.1,60,Jp Nagar,Bar,Pasta,"Fast Food, Thai",200.0,Pubs and bars,2,Cheap
Resto_129,Yes,Yes,3.2,2030,Koramangala,Quick Service Restaurant,Salad,"Beverages, Thai, Mexican, Italian",600.0,Dine-out,4,Moderate
Resto_497,Yes,Yes,4.7,981,Jayanagar,Quick Service Restaurant,Pizza,"Continental, Chinese, Italian, Desserts, Mexican",2500.0,Delivery,5,Very Expensive
McDonald's,No,No,4.8,1352,Indiranagar,Casual Dining,Burgers,"Mexican, South Indian, North Indian, Continental",400.0,Drinks & nightlife,4,Cheap
Nandhana Palace,No,Yes,3.9,1356,Jp Nagar,Quick Service Restaurant,Pizza,"Fast Food, Beverages",2000.0,Pubs and bars,2,Expensive
Pizza Hut,No,Yes,3.4,2995,Jayanagar,Cafe,Steak,Mexican,1500.0,Cafes,1,Expensive
Resto_71,No,Yes,4.5,1732,Koramangala,Quick Service Restaurant,Burgers,"Continental, Thai, Chinese, Fast Food, Mexican",800.0,Delivery,5,Moderate
KFC,Yes,Yes,2.3,2512,Jp Nagar,Cafe,Sushi,"Beverages, North Indian, Fast Food, Mexican, Italian",400.0,Buffet,5,Cheap
Onesta,Yes,No,2.3,917,Koramangala,Bar,Burgers,South Indian,400.0,Dine-out,1,Cheap
Resto_495,Yes,No,4.1,1944,Jayanagar,Pub,Pizza,"Continental, Italian, Desserts, South Indian, Chinese",200.0,Cafes,5,Cheap
Nandhana Palace,No,Yes,3.6,532,Jayanagar,Pub,Biryani,"North Indian, Thai, Desserts",600.0,Pubs and bars,3,Moderate
Pizza Hut,Yes,Yes,3.0,1238,Koramangala,Fine Dining,Salad,"South Indian, Continental, North Indian, Desserts, Beverages",1000.0,Delivery,5,Moderate
Resto_238,Yes,Yes,4.0,1314,Mg Road,Bar,Biryani,Mexican,1000.0,Buffet,1,Moderate
Nandhana Palace,No,No,4.4,1778,Whitefield,Cafe,Sushi,Mexican,2000.0,Delivery,1,Expensive
Pizza Hut,Yes,No,3.4,2511,Jp Nagar,Quick Service Restaurant,Sushi,"Desserts, Mexican",800.0,Cafes,2,Moderate
Resto_35,Yes,Yes,2.3,105,Whitefield,Pub,Pizza,"Mexican, Italian, Chinese, Continental",800.0,Buffet,4,Moderate
KFC,Yes,Yes,2.8,2084,Whitefield,Bakery,Burgers,"North Indian, Continental, Beverages, Fast Food",600.0,Cafes,4,Moderate
Resto_8,Yes,Yes,4.5,1259,Hsr Layout,Casual Dining,Pasta,"Fast Food, Chinese",400.0,Dine-out,2,Cheap
Resto_795,No,Yes,2.9,1982,Mg Road,Quick Service Restaurant,Sushi,"Continental, North Indian, Beverages, Chinese",400.0,Pubs and bars,4,Cheap
Pizza Hut,Yes,No,3.6,1706,Jayanagar,Bakery,Sushi,"Continental, Italian",1200.0,Delivery,2,Expensive
Burger King,Yes,Yes,4.5,1609,Jp Nagar,Quick Service Restaurant,Pasta,"Continental, Italian, Chinese, Desserts",600.0,Delivery,4,Moderate
Empire Restaurant,Yes,Yes,4.9,2327,Mg Road,Bakery,Pizza,"Mexican, Chinese",2500.0,Drinks & nightlife,2,Very Expensive
Empire Restaurant,Yes,No,4.1,1256,Jayanagar,Pub,Pasta,"Desserts, Fast Food, Continental",600.0,Buffet,3,Moderate
Onesta,No,No,4.2,2181,Hsr Layout,Bakery,Steak,"Desserts, Continental, South Indian, Beverages",1500.0,Pubs and bars,4,Expensive
Resto_38,No,Yes,3.0,1058,Jp Nagar,Quick Service Restaurant,Salad,"Continental, Beverages, North Indian, Fast Food, Chinese",400.0,Buffet,5,Cheap
Burger King,No,No,3.8,589,Jayanagar,Bar,Biryani,"Chinese, Mexican",1000.0,Drinks & nightlife,2,Moderate
Resto_965,Yes,No,2.4,419,Jp Nagar,Bakery,Dosa,Fast Food,200.0,Drinks & nightlife,1,Cheap
McDonald's,Yes,No,3.6,1025,Koramangala,Pub,Burgers,Chinese,600.0,Cafes,1,Moderate
Leon Grill,No,Yes,4.2,1943,Hsr Layout,Pub,Steak,"Beverages, Desserts, Fast Food, South Indian, North Indian",1200.0,Dine-out,5,Expensive
Resto_79,Yes,Yes,4.2,2023,Marathahalli,Bar,Salad,"Fast Food, Desserts, Thai, Mexican, Beverages",1200.0,Cafes,5,Expensive
Resto_622,Yes,Yes,4.6,580,Koramangala,Fine Dining,Biryani,"Mexican, Thai, North Indian, Chinese",1000.0,Buffet,4,Moderate
Empire Restaurant,No,Yes,2.9,2967,Hsr Layout,Pub,Dosa,"Italian, Thai, Beverages, Desserts, Chinese",2500.0,Delivery,5,Very Expensive
Resto_938,Yes,No,4.6,1227,Mg Road,Cafe,Sushi,South Indian,2000.0,Delivery,1,Expensive
McDonald's,No,No,2.5,182,Whitefield,Cafe,Sushi,"North Indian, Chinese, Italian, Mexican, South Indian",2500.0,Dine-out,5,Very Expensive
McDonald's,No,Yes,4.1,1306,Marathahalli,Quick Service Restaurant,Burgers,"Thai, Desserts, Continental, Mexican",2000.0,Buffet,4,Expensive
Pizza Hut,Yes,Yes,3.7,1705,Indiranagar,Cafe,Sushi,"Chinese, Thai, North Indian, South Indian",400.0,Dine-out,4,Cheap
McDonald's,No,No,2.6,1009,Whitefield,Pub,Sushi,"Italian, Continental, Beverages",800.0,Cafes,3,Moderate
Resto_404,No,Yes,3.1,1598,Jp Nagar,Pub,Sushi,Desserts,400.0,Cafes,1,Cheap
Pizza Hut,Yes,Yes,3.3,365,Jayanagar,Quick Service Restaurant,Salad,"South Indian, Italian, Thai",1500.0,Delivery,3,Expensive
Nandhana Palace,No,Yes,4.6,631,Hsr Layout,Quick Service Restaurant,Pasta,"Beverages, Continental, Thai, Chinese",400.0,Dine-out,4,Cheap
Pizza Hut,No,Yes,2.5,1186,Indiranagar,Fine Dining,Biryani,"Fast Food, Desserts, Continental, Thai",3000.0,Dine-out,4,Very Expensive
McDonald's,No,No,4.8,86,Jayanagar,Cafe,Steak,"Beverages, North Indian, Italian",200.0,Buffet,3,Cheap
Resto_17,No,Yes,4.6,1000,Jp Nagar,Quick Service Restaurant,Biryani,"Desserts, Beverages",1000.0,Pubs and bars,2,Moderate
Burger King,No,Yes,4.0,1649,Marathahalli,Cafe,Pizza,"Beverages, South Indian, North Indian, Fast Food",200.0,Pubs and bars,4,Cheap
Resto_518,No,Yes,2.3,2322,Hsr Layout,Cafe,Salad,"North Indian, South Indian",800.0,Pubs and bars,2,Moderate
Resto_899,Yes,No,2.9,1543,Indiranagar,Casual Dining,Salad,Chinese,200.0,Delivery,1,Cheap
Pizza Hut,Yes,Yes,3.0,2310,Mg Road,Quick Service Restaurant,Steak,"Mexican, Thai, South Indian",600.0,Buffet,3,Moderate
Nandhana Palace,Yes,No,4.1,875,Marathahalli,Pub,Burgers,"Italian, Beverages, Chinese",1500.0,Delivery,3,Expensive
Onesta,No,Yes,3.0,2418,Jp Nagar,Bar,Steak,"Desserts, South Indian, Chinese",600.0,Cafes,3,Moderate
Resto_718,No,Yes,2.9,145,Indiranagar,Quick Service Restaurant,Pizza,Beverages,1500.0,Dine-out,1,Expensive
Burger King,Yes,Yes,3.9,2258,Hsr Layout,Bakery,Sushi,"Italian, Mexican, Thai, Beverages",2000.0,Cafes,4,Expensive
Empire Restaurant,Yes,No,2.2,2635,Nan,Cafe,Burgers,"South Indian, Fast Food",1200.0,Cafes,2,Expensive
Leon Grill,Yes,Yes,2.1,534,Marathahalli,Fine Dining,Steak,"South Indian, Italian, Beverages",1000.0,Drinks & nightlife,3,Moderate
Resto_49,No,No,4.2,833,Whitefield,Pub,Pasta,"Continental, Desserts",2000.0,Drinks & nightlife,2,Expensive
Onesta,No,Yes,4.5,948,Nan,Casual Dining,Biryani,"South Indian, Beverages, Thai, Italian, North Indian",1200.0,Cafes,5,Expensive
Nandhana Palace,Yes,No,3.3,1656,Mg Road,Quick Service Restaurant,Biryani,Mexican,400.0,Pubs and bars,1,Cheap
McDonald's,No,Yes,4.4,1529,Mg Road,Pub,Pasta,"Italian, Thai, Mexican, Beverages",400.0,Pubs and bars,4,Cheap
Onesta,Yes,Yes,3.5,986,Hsr Layout,Pub,Dosa,"North Indian, Fast Food, Continental",2000.0,Buffet,3,Expensive
Nandhana Palace,No,No,3.7,2651,Mg Road,Casual Dining,Biryani,"North Indian, South Indian",3000.0,Buffet,2,Very Expensive
Leon Grill,No,Yes,2.1,2824,Mg Road,Pub,Steak,"North Indian, Desserts, Italian",600.0,Drinks & nightlife,3,Moderate
Resto_873,Yes,No,3.1,2255,Mg Road,Casual Dining,Dosa,Italian,1000.0,Buffet,1,Moderate
Onesta,Yes,No,4.2,2207,Whitefield,Fine Dining,Pizza,"Mexican, Fast Food, Thai, Chinese, Beverages",2500.0,Dine-out,5,Very Expensive
McDonald's,Yes,No,2.2,2990,Whitefield,Bakery,Biryani,"Chinese, Beverages, Fast Food, Desserts, Italian",400.0,Drinks & nightlife,5,Cheap
McDonald's,Yes,Yes,4.6,2835,Marathahalli,Quick Service Restaurant,Pasta,Chinese,1000.0,Drinks & nightlife,1,Moderate
Empire Restaurant,No,Yes,3.0,1047,Marathahalli,Bar,Salad,"Beverages, Chinese, Mexican, Thai",3000.0,Delivery,4,Very Expensive
McDonald's,Yes,No,4.7,360,Mg Road,Bar,Pizza,Italian,1500.0,Cafes,1,Expensive
Empire Restaurant,No,Yes,2.4,740,Jayanagar,Fine Dining,Salad,"North Indian, Mexican, Thai, Desserts",800.0,Dine-out,4,Moderate
Pizza Hut,No,No,4.1,1099,Jp Nagar,Bar,Steak,"Chinese, Continental",2000.0,Drinks & nightlife,2,Expensive
Resto_555,Yes,No,4.7,2914,Mg Road,Cafe,Burgers,"North Indian, South Indian, Fast Food",200.0,Drinks & nightlife,3,Cheap
Resto_421,Yes,Yes,2.8,2530,Marathahalli,Cafe,Steak,"Fast Food, Desserts, Chinese",200.0,Pubs and bars,3,Cheap
KFC,Yes,Yes,3.5,76,Indiranagar,Fine Dining,Pizza,"South Indian, North Indian, Continental, Mexican, Chinese",800.0,Buffet,5,Moderate
Resto_663,Yes,Yes,4.9,321,Indiranagar,Cafe,Biryani,"Beverages, Fast Food, Mexican, Continental, Thai",400.0,Buffet,5,Cheap
Resto_60,No,No,2.5,541,Jp Nagar,Pub,Pizza,"Continental, South Indian, Fast Food, Mexican, Italian",1000.0,Cafes,5,Moderate
Onesta,Yes,Yes,4.8,2372,Koramangala,Fine Dining,Pasta,"North Indian, Fast Food, Desserts",2500.0,Delivery,3,Very Expensive
Resto_674,No,No,4.1,2752,Indiranagar,Fine Dining,Biryani,"North Indian, Mexican, Chinese",2500.0,Dine-out,3,Very Expensive
McDonald's,Yes,No,2.9,354,Whitefield,Bar,Steak,"Mexican, Fast Food, North Indian, Italian",600.0,Buffet,4,Moderate
McDonald's,No,No,4.8,2107,Indiranagar,Cafe,Burgers,"North Indian, Continental, South Indian, Thai",600.0,Pubs and bars,4,Moderate
Pizza Hut,No,No,4.8,1133,Marathahalli,Bar,Pasta,Thai,2000.0,Dine-out,1,Expensive
Nandhana Palace,No,No,2.5,848,Mg Road,Bakery,Pasta,Italian,800.0,Delivery,1,Moderate
Resto_924,No,No,3.8,510,Mg Road,Quick Service Restaurant,Pasta,"Desserts, North Indian, Chinese, Italian, Continental",800.0,Pubs and bars,5,Moderate
Pizza Hut,Yes,No,4.3,938,Koramangala,Bar,Burgers,"Mexican, Continental, Chinese",800.0,Pubs and bars,3,Moderate
Leon Grill,Yes,No,2.5,1155,Koramangala,Quick Service Restaurant,Pizza,"South Indian, Mexican",3000.0,Cafes,2,Very Expensive
Resto_858,No,Yes,3.6,339,Hsr Layout,Fine Dining,Salad,Desserts,1500.0,Delivery,1,Expensive
McDonald's,No,Yes,2.2,1556,Jayanagar,Quick Service Restaurant,Biryani,"Chinese, Italian, South Indian, Thai, Fast Food",1200.0,Cafes,5,Expensive
KFC,No,Yes,3.9,1013,Whitefield,Bar,Salad,Desserts,1000.0,Delivery,1,Moderate
Pizza Hut,No,No,3.4,329,Koramangala,Bakery,Dosa,"Fast Food, Continental, North Indian",400.0,Buffet,3,Cheap
Resto_101,No,No,4.4,302,Jayanagar,Quick Service Restaurant,Pasta,Desserts,2000.0,Buffet,1,Expensive
Pizza Hut,Yes,Yes,3.5,1016,Mg Road,Bakery,Biryani,Continental,1000.0,Delivery,1,Moderate
McDonald's,Yes,Yes,4.8,460,Jayanagar,Bar,Salad,"Chinese, Desserts, Italian, Mexican, North Indian",1500.0,Pubs and bars,5,Expensive
Pizza Hut,Yes,Yes,4.1,2636,Jayanagar,Pub,Steak,"Desserts, Italian, Beverages, Fast Food",800.0,Drinks & nightlife,4,Moderate
McDonald's,No,No,4.7,1528,Mg Road,Bakery,Steak,"Fast Food, Chinese, Mexican",200.0,Buffet,3,Cheap
Resto_355,No,Yes,3.0,347,Marathahalli,Fine Dining,Salad,"South Indian, North Indian",800.0,Cafes,2,Moderate
Onesta,No,Yes,2.5,1662,Indiranagar,Pub,Pizza,Fast Food,1500.0,Dine-out,1,Expensive
Leon Grill,Yes,No,4.1,1769,Indiranagar,Quick Service Restaurant,Steak,"North Indian, Desserts",1200.0,Cafes,2,Expensive
Resto_94,No,No,4.2,1583,Jp Nagar,Cafe,Steak,"Desserts, Thai, Continental, Mexican",400.0,Buffet,4,Cheap
Pizza Hut,No,No,2.2,646,Whitefield,Casual Dining,Salad,"Fast Food, Italian, Continental, Beverages, Desserts",200.0,Drinks & nightlife,5,Cheap
Resto_807,Yes,No,4.6,1507,Koramangala,Bakery,Steak,"South Indian, North Indian, Desserts",1500.0,Dine-out,3,Expensive
Resto_199,No,Yes,3.3,2569,Jayanagar,Bar,Dosa,"Continental, Thai, Chinese, North Indian, Italian",2500.0,Buffet,5,Very Expensive
Resto_422,No,No,2.7,390,Koramangala,Casual Dining,Biryani,"Italian, Desserts, Thai",3000.0,Drinks & nightlife,3,Very Expensive
Onesta,Yes,Yes,3.7,2851,Jayanagar,Bakery,Salad,"Thai, Desserts, North Indian, Chinese",2000.0,Delivery,4,Expensive
Onesta,Yes,No,3.6,1056,Marathahalli,Fine Dining,Dosa,Thai,2500.0,Dine-out,1,Very Expensive
Leon Grill,Yes,Yes,2.1,1193,Jp Nagar,Fine Dining,Pizza,"Fast Food, Chinese, North Indian",600.0,Delivery,3,Moderate
Resto_605,No,No,3.4,2099,Mg Road,Cafe,Pasta,"South Indian, Italian, Continental",1500.0,Dine-out,3,Expensive
Empire Restaurant,No,Yes,3.3,1247,Whitefield,Bakery,Pasta,"Mexican, Continental",3000.0,Cafes,2,Very Expensive
Burger King,No,Yes,4.0,2921,Jayanagar,Fine Dining,Sushi,"South Indian, Mexican",3000.0,Pubs and bars,2,Very Expensive
